
name, levels, sample, time (ms)
fixed time limits,5,7,30.0000
fixed time limits,5,8,30.0000
fixed time limits,5,9,20.0000
fixed time limits,5,10,30.0000
fixed time limits,5,avg,26.0000

name, levels, sample, time (ms)
random throughput,5,1,10.0000
random throughput,5,2,20.0000
random throughput,5,3,10.0000
random throughput,5,4,20.0000
random throughput,5,5,10.0000
random throughput,5,6,10.0000
random throughput,5,7,10.0000
random throughput,5,8,10.0000
random throughput,5,9,0.00000
random throughput,5,10,0.00000
random throughput,5,avg,10.0000

name, levels, sample, time (ms)
random time limits,5,1,30.0000
random time limits,5,2,40.0000
random time limits,5,3,40.0000
random time limits,5,4,30.0000
random time limits,5,5,30.0000
random time limits,5,6,30.0000
random time limits,5,7,30.0000
random time limits,5,8,30.0000
random time limits,5,9,30.0000
random time limits,5,10,50.0000
random time limits,5,avg,34.0000

name, levels, sample, time (ms)
fixed throughput,6,1,10.0000
fixed throughput,6,2,10.0000
fixed throughput,6,3,10.0000
fixed throughput,6,4,10.0000
fixed throughput,6,5,10.0000
fixed throughput,6,6,10.0000
fixed throughput,6,7,10.0000
fixed throughput,6,8,10.0000
fixed throughput,6,9,10.0000
fixed throughput,6,10,0.00000
fixed throughput,6,avg,9.00000

name, levels, sample, time (ms)
fixed time limits,6,1,30.0000
fixed time limits,6,2,30.0000
fixed time limits,6,3,30.0000
fixed time limits,6,4,30.0000
fixed time limits,6,5,30.0000
fixed time limits,6,6,30.0000
fixed time limits,6,7,30.0000
fixed time limits,6,8,30.0000
fixed time limits,6,9,30.0000
fixed time limits,6,10,30.0000
fixed time limits,6,avg,30.0000

name, levels, sample, time (ms)
random throughput,6,1,10.0000
random throughput,6,2,10.0000
random throughput,6,3,10.0000
random throughput,6,4,10.0000
random throughput,6,5,10.0000
random throughput,6,6,10.0000
random throughput,6,7,10.0000
random throughput,6,8,0.00000
random throughput,6,9,10.0000
random throughput,6,10,10.0000
random throughput,6,avg,9.00000

name, levels, sample, time (ms)
random time limits,6,1,50.0000
random time limits,6,2,60.0000
random time limits,6,3,50.0000
random time limits,6,4,50.0000
random time limits,6,5,40.0000
random time limits,6,6,30.0000
random time limits,6,7,60.0000
random time limits,6,8,40.0000
random time limits,6,9,30.0000
random time limits,6,10,50.0000
random time limits,6,avg,46.0000

name, levels, sample, time (ms)
fixed throughput,7,1,10.0000
fixed throughput,7,2,10.0000
fixed throughput,7,3,10.0000
fixed throughput,7,4,10.0000
fixed throughput,7,5,10.0000
fixed throughput,7,6,10.0000
fixed throughput,7,7,10.0000
fixed throughput,7,8,10.0000
fixed throughput,7,9,10.0000
fixed throughput,7,10,10.0000
fixed throughput,7,avg,10.0000

name, levels, sample, time (ms)
fixed time limits,7,1,40.0000
fixed time limits,7,2,40.0000
fixed time limits,7,3,30.0000
fixed time limits,7,4,40.0000
fixed time limits,7,5,30.0000
fixed time limits,7,6,30.0000
fixed time limits,7,7,40.0000
fixed time limits,7,8,40.0000
fixed time limits,7,9,30.0000
fixed time limits,7,10,40.0000
fixed time limits,7,avg,36.0000

name, levels, sample, time (ms)
random throughput,7,1,10.0000
random throughput,7,2,10.0000
random throughput,7,3,10.0000
random throughput,7,4,10.0000
random throughput,7,5,10.0000
random throughput,7,6,10.0000
random throughput,7,7,10.0000
random throughput,7,8,10.0000
random throughput,7,9,20.0000
random throughput,7,10,10.0000
random throughput,7,avg,11.0000

name, levels, sample, time (ms)
random time limits,7,1,40.0000
random time limits,7,2,50.0000
random time limits,7,3,50.0000
random time limits,7,4,50.0000
random time limits,7,5,50.0000
random time limits,7,6,60.0000
random time limits,7,7,50.0000
random time limits,7,8,60.0000
random time limits,7,9,40.0000
random time limits,7,10,110.000
random time limits,7,avg,56.0000

name, levels, sample, time (ms)
fixed throughput,8,1,10.0000
fixed throughput,8,2,20.0000
fixed throughput,8,3,10.0000
fixed throughput,8,4,10.0000
fixed throughput,8,5,10.0000
fixed throughput,8,6,10.0000
fixed throughput,8,7,10.0000
fixed throughput,8,8,10.0000
fixed throughput,8,9,10.0000
fixed throughput,8,10,20.0000
fixed throughput,8,avg,12.0000

name, levels, sample, time (ms)
fixed time limits,8,1,40.0000
fixed time limits,8,2,30.0000
fixed time limits,8,3,40.0000
fixed time limits,8,4,30.0000
fixed time limits,8,5,40.0000
fixed time limits,8,6,40.0000
fixed time limits,8,7,40.0000
fixed time limits,8,8,40.0000
fixed time limits,8,9,40.0000
fixed time limits,8,10,40.0000
fixed time limits,8,avg,38.0000

name, levels, sample, time (ms)
random throughput,8,1,10.0000
random throughput,8,2,20.0000
random throughput,8,3,20.0000
random throughput,8,4,10.0000
random throughput,8,5,10.0000
random throughput,8,6,10.0000
random throughput,8,7,10.0000
random throughput,8,8,10.0000
random throughput,8,9,20.0000
random throughput,8,10,10.0000
random throughput,8,avg,13.0000

name, levels, sample, time (ms)
random time limits,8,1,110.000
random time limits,8,2,70.0000
random time limits,8,3,110.000
random time limits,8,4,70.0000
random time limits,8,5,50.0000
random time limits,8,6,50.0000
random time limits,8,7,50.0000
random time limits,8,8,70.0000
random time limits,8,9,70.0000
random time limits,8,10,50.0000
random time limits,8,avg,70.0000

name, levels, sample, time (ms)
fixed throughput,9,1,10.0000
fixed throughput,9,2,20.0000
fixed throughput,9,3,20.0000
fixed throughput,9,4,10.0000
fixed throughput,9,5,10.0000
fixed throughput,9,6,10.0000
fixed throughput,9,7,10.0000
fixed throughput,9,8,20.0000
fixed throughput,9,9,10.0000
fixed throughput,9,10,20.0000
fixed throughput,9,avg,14.0000

name, levels, sample, time (ms)
fixed time limits,9,1,40.0000
fixed time limits,9,2,50.0000
fixed time limits,9,3,50.0000
fixed time limits,9,4,50.0000
fixed time limits,9,5,40.0000
fixed time limits,9,6,50.0000
fixed time limits,9,7,40.0000
